region_id,region,region_alias,province_id,province,city_id,city,barangay_id,barangay,population,province_cleaned,full_match_successful
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1295,CABADBARAN CITY,34252,CONCEPCION,1076,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1295,CABADBARAN CITY,34251,COMAGASCAS,3257,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1295,CABADBARAN CITY,34250,CALIBUNAN,3288,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1295,CABADBARAN CITY,34249,CALAMBA,2972,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1295,CABADBARAN CITY,34248,CABINET,1745,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1295,CABADBARAN CITY,34247,CAASINAN,1211,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1295,CABADBARAN CITY,34246,BAYABAS,1223,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1295,CABADBARAN CITY,34245,BAY-ANG,1435,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1295,CABADBARAN CITY,34244,ANTONIO LUNA,1224,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1294,BUTUAN CITY,34243,PIGDAULAN,2037,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1294,BUTUAN CITY,34242,DON FRANCISCO,943,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1294,BUTUAN CITY,34241,SUMILE,1789,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1294,BUTUAN CITY,34240,SANTO NI_O,2693,AGUSAN DEL NORTE,0
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1294,BUTUAN CITY,34239,SALVACION,1224,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1294,BUTUAN CITY,34238,PANGABUGAN,2770,AGUSAN DEL NORTE,1
